"","Gene","log2FoldChange","padj"
"41","groL_C",3.50738661121497,3.99426660543044e-17
"42","F1613_RS04065_C",3.5004099743729,0.000297742535185459
"43","groES_C",3.37419382357991,6.95990938149675e-16
"44","F1613_RS04750_C",3.34088128123228,5.83663322841759e-13
"45","F1613_RS03190_C",3.33798188572837,6.29489416282568e-13
"46","F1613_RS01135_C",3.27878997218113,1.02453919769302e-16
"47","F1613_RS05970_C",3.26590080351597,2.25512856242889e-11
"48","F1613_RS09310_C",3.26373950776835,1.04138996459275e-23
"49","F1613_RS11230_C",3.2601024011557,3.36363355580592e-19
"50","F1613_RS07270_C",3.1930372547558,3.85068401271881e-06
"51","clpP_C",3.16397528921156,1.90342890361466e-17
"52","F1613_RS06075_C",3.12359420050153,1.6124860474209e-16
"53","leuB_C",3.11536577218229,7.4126713807514e-13
"54","F1613_RS06755_C",3.11072871447266,6.97282649161271e-16
"55","pfkB_C",3.06866544144097,2.20820707251813e-05
"56","F1613_RS08215_C",3.0649713214491,0.000107031878317073
"57","F1613_RS01230_C",3.05369719184444,8.08316645672894e-11
"58","F1613_RS12665_C",3.04835544511518,7.94282672873272e-09
"59","cydC_C",3.01968061112809,3.84636044399018e-15
"60","gntK_C",3.01587624822487,2.76720040606571e-14
"61","dnaJ_C",2.97358261743325,2.9709796071034e-16
"62","F1613_RS08045_C",2.9604390682416,2.5541397345531e-06
"63","prmA_C",2.95025964514976,4.32497063238229e-14
"64","F1613_RS04625_C",2.93917791534274,9.6987961424434e-08
"65","F1613_RS05075_C",2.84947606895322,8.16581612003958e-15
"66","leuC_C",2.8449032870383,4.28367993305946e-11
"67","pflA_C",2.7764775706551,6.96793564263848e-07
"68","F1613_RS04620_C",2.7637782765873,1.4063740190192e-08
"69","F1613_RS09950_C",2.6820219414086,0.00015112747314113
"70","F1613_RS06495_C",2.67446546851925,1.51471020925488e-08
"71","F1613_RS03175_C",2.67180266370317,2.719596738429e-05
"72","ilvB_C",2.66275382431366,9.8884258213882e-12
"73","pruA_C",2.65995331360958,2.17677688556471e-05
"74","F1613_RS11940_C",2.65987421257108,2.56262926565331e-15
"75","F1613_RS02870_C",2.65854836403569,3.5074996145281e-05
"76","F1613_RS08655_C",2.63282458037152,4.33231852098868e-09
"77","F1613_RS12185_C",2.6159411363904,0.00138198358662049
"78","adhE_C",2.61568667567819,9.23680404401002e-07
"79","alsS_C",2.60756092186649,9.8884258213882e-12
"80","dinB_C",2.53069319416151,1.31007194018691e-11
"81","F1613_RS11890_C",2.52115436864012,1.31534932904102e-12
"82","F1613_RS04070_C",2.48778643362928,0.00212604710123588
"83","F1613_RS01000_C",2.48655167258722,0.000804502495448637
"84","F1613_RS01355_C",2.43105340046692,4.8697791073587e-11
"85","leuD_C",2.40380011245311,1.34176500303103e-09
"86","F1613_RS04080_C",2.40024506669098,6.25761265493312e-05
"87","F1613_RS02610_C",2.39299628693117,4.7378211997706e-09
"88","F1613_RS02970_C",2.38822856707805,1.4063740190192e-08
"89","F1613_RS01755_C",2.38182063849559,2.92261635055081e-10
"90","F1613_RS06705_C",2.37820846392882,0.00515736245932148
"91","F1613_RS06155_C",2.3723777366213,0.00151253284819429
"92","F1613_RS05190_C",2.37017300218007,0.000888602501642698
"93","F1613_RS00870_C",2.36992165973754,2.85676277977351e-07
"94","F1613_RS12630_C",2.36736387753493,3.88211183832103e-06
"95","budA_C",2.35433901821435,7.56776463892472e-10
"96","F1613_RS12510_C",2.35421868799559,1.35574474367332e-05
"97","ilvA_C",2.34906720193024,1.36973481100661e-14
"98","F1613_RS00685_C",2.34740773124591,2.89321614083175e-11
"99","F1613_RS01225_C",2.33572414718663,4.15402208980266e-06
"100","F1613_RS05150_C",2.33489471447911,7.16401981836258e-05
"101","blaI_C",2.32464519042085,5.67572853300025e-08
"102","F1613_RS00080_C",2.3235045304087,0.000970302348587602
"103","F1613_RS11815_C",2.32297872752396,0.00015977795627915
"104","dhaK_C",2.32118380425666,7.57018619566048e-09
"105","F1613_RS12420_P",2.31714241784005,0.000414800536306445
"106","F1613_RS03770_C",2.28766283107319,6.59902752529468e-08
"107","F1613_RS05200_C",2.27731455439458,0.0013885556051934
"108","saeR_C",2.27438172568329,0.00106352093807646
"109","F1613_RS03925_C",2.27234136179571,1.12220115173245e-06
"110","F1613_RS04970_C",2.26997885226246,1.19150723541122e-07
"111","F1613_RS03435_C",2.26520205258219,1.04963572884995e-10
"112","raiA_C",2.25813775242027,3.45096432542153e-05
"113","blaR1_C",2.25466408264982,3.959502982701e-06
"114","F1613_RS07835_C",2.23734596608201,1.23386572183472e-07
"115","pflB_C",2.22564236224106,1.8977004777246e-05
"116","vraR_C",2.20443388743844,4.57676223882091e-07
"117","F1613_RS04815_C",2.20377284455796,3.01566109798461e-13
"118","F1613_RS10000_C",2.19865867981763,0.000125440705812473
"119","F1613_RS05565_C",2.19729283204472,1.26648369787827e-08
"120","F1613_RS07920_C",2.18305667956753,9.44060764600353e-08
"121","F1613_RS12725_C",2.1767433286082,2.3506944598184e-05
"122","F1613_RS09995_C",2.17485581413972,0.000347639811824045
"123","F1613_RS06475_C",2.17410168060161,0.000228700470230702
"124","F1613_RS05205_C",2.17348723441513,0.00296810120839517
"125","dhaL_C",2.1692510939796,3.24384142339756e-07
"126","F1613_RS10230_C",2.16051374850101,5.81328448680983e-09
"127","zwf_C",2.14178126866406,1.26648369787827e-08
"128","F1613_RS02280_C",2.13538806420131,5.8352249296519e-11
"129","F1613_RS03180_C",2.1266957291983,0.000426494638252478
"130","F1613_RS10800_C",2.11632024724769,9.64290387403481e-05
"131","trpD_C",2.10245468695863,1.12236167538623e-06
"132","F1613_RS03005_C",2.08760426166649,0.000332110433808266
"133","F1613_RS04185_C",2.07896915651057,8.10063908421716e-06
"134","ald_C",2.07485042665295,6.95266804364466e-06
"135","F1613_RS01745_C",2.06908481861586,7.74564257955709e-05
"136","F1613_RS00070_C",2.06130330952262,1.01947085095755e-06
"137","F1613_RS05575_C",2.05926059432519,0.000924589291506393
"138","hslO_C",2.0515033656911,0.00016830308344962
"139","F1613_RS05560_C",2.04991362778989,0.000110862596805416
"140","dhaM_C",2.0424832100182,3.29260628426638e-06
"141","F1613_RS03960_C",2.01276164413295,3.88211183832103e-06
"142","F1613_RS10790_C",2.0021251801198,1.47695378751343e-08
"143","F1613_RS03145_C",1.99051886931073,0.00281988122587003
"144","F1613_RS02270_C",1.98704329543313,6.00074744624286e-07
"145","F1613_RS12570_P",1.97780473885871,0.0118360269261587
"146","bshC_C",1.95949321541197,1.38711950490905e-08
"147","F1613_RS08740_C",1.95093287349469,4.57676223882091e-07
"148","F1613_RS12190_C",1.94927118207794,1.65724643844482e-05
"149","mecA_C",1.9433756013815,0.0013244438693787
"150","F1613_RS09305_C",1.93983672044054,2.52061403110748e-06
"151","F1613_RS02605_C",1.93634572601151,8.25895283139209e-08
"152","F1613_RS01035_C",1.92427903621027,0.000146275760873964
"153","F1613_RS02260_C",1.9199610212239,8.97083141052276e-05
"154","F1613_RS10325_C",1.91882529583292,0.00162844225334351
"155","F1613_RS05795_C",1.91220448498536,3.22940914038372e-05
"156","F1613_RS01010_C",1.91180913935835,4.30061121409082e-09
"157","arcC_C",1.90189121441376,0.00106861788854379
"158","F1613_RS06270_C",1.89909741851937,1.51909373710613e-06
"159","F1613_RS08210_C",1.87923501931501,0.00134579385529965
"160","F1613_RS09765_C",1.87006698418063,8.87634378927852e-08
"161","F1613_RS08040_C",1.86801984218315,1.76635073428469e-05
"162","F1613_RS06965_C",1.86169832369041,1.93344835680832e-05
"163","F1613_RS10225_C",1.8558306028501,7.03476988284109e-05
"164","F1613_RS03370_C",1.85240354096056,3.49262374639829e-10
"165","F1613_RS01670_C",1.79885546161866,0.00106321011801231
"166","F1613_RS03505_C",1.78952783240912,8.04516485629549e-05
"167","F1613_RS09745_C",1.78246170717481,1.95972137986604e-06
"168","yjbH_C",1.77564832042255,6.45318554948076e-08
"169","F1613_RS12520_C",1.77081348410445,0.00174272114508666
"170","F1613_RS07830_C",1.76929971601789,3.99181095562873e-05
"171","F1613_RS08220_C",1.76225028000229,0.0161960704263706
"172","asp3_C",1.75340293371089,2.18862764646472e-07
"173","liaF_C",1.74906404629652,9.77821973662499e-06
"174","F1613_RS00940_C",1.74747979068043,0.000121645077619404
"175","F1613_RS12560_C",1.74113206127511,0.00666032819295444
"176","F1613_RS00620_C",1.74013927303994,0.0103594796312933
"177","F1613_RS04585_C",1.72800287896796,5.74116550061261e-07
"178","argH_C",1.72720294901513,0.00296810120839517
"179","F1613_RS08195_C",1.72268017771937,0.00858920740574873
"180","F1613_RS08205_C",1.72212230181941,0.00696431027849378
"181","F1613_RS10695_C",1.71125387565799,0.000173426012945943
"182","F1613_RS01635_C",1.71084962326568,1.93977559850051e-06
