uniprot_quickGO	Description	HS1	HS2	HS3	A21	A22	B51	B52	C11	C12
NA	F1613_RS05215	47	45	24	9	10	15	55	15	10
NA	F1613_RS05330	52	51	51	42	38	30	10	35	26
NA	F1613_RS05365	5	11	12	11	14	12	12	58	24
NA	F1613_RS05650	8	11	5	5	4	12	8	3	1
NA	F1613_RS05660	23	20	20	26	36	30	10	36	20
NA	F1613_RS05775	118	125	119	119	91	73	58	111	75
NA	F1613_RS06155	21	37	19	3	4	9	12	5	4
NA	F1613_RS09705	28	15	20	11	7	21	35	28	30
NA	F1613_RS10035	15	36	8	5	4	6	8	1	2
NA	F1613_RS10490	205	109	71	110	84	67	50	67	55
NA	F1613_RS12395	530	632	460	982	1108	1042	208	607	195
NA	F1613_RS12415	9684	8673	7628	30338	28592	26515	22228	24441	26214
NA	F1613_RS12440	4351	3612	4061	10944	10083	10103	17505	7931	9267
NA	F1613_RS12445	44073	135356	33440	2366	2348	3808	4155	2477	6730
NA	F1613_RS12480	4950	29520	4981	675	550	831	352	405	868
NA	F1613_RS12485	49	56	52	150	243	162	83	158	136
NA	F1613_RS12505	124	172	124	68	82	94	55	112	57
NA	F1613_RS12520	3974	1714	1653	524	684	2341	3192	8092	2749
NA	F1613_RS12525	10	5	18	19	24	17	18	16	1
NA	F1613_RS12555	78	84	97	29	27	29	33	21	17
NA	F1613_RS12570	847	1729	956	217	183	305	6780	201	454
NA	F1613_RS12615	2	2	4	13	6	25	0	9	1
NA	F1613_RS12640	228	202	238	302	156	219	122	167	110
NA	F1613_RS12650	2161	984	841	904	1276	1186	801	1255	437
NA	F1613_RS12655	9	9	3	33	25	9	12	7	0
NA	F1613_RS12690	1507	785	777	1137	1368	970	399	1213	202
NA	F1613_RS12710	174	261	385	105	114	88	246	133	93
NA	F1613_RS12725	720	837	291	119	123	191	109	247	227
NA	rrf	82	104	81	75	76	89	96	54	49
NA	F1613_RS10650	309	737	506	451	465	656	3414	2848	3014
NA	F1613_RS11270	115	273	169	179	165	296	928	562	875
NA	rrf	82	104	81	75	76	89	96	54	49
NA	F1613_RS01940	295	763	574	457	528	700	3489	2756	3222
NA	F1613_RS02215	127	294	184	181	212	310	936	530	942
NA	F1613_RS11775	118	253	146	167	173	313	781	560	838
NA	rrf	82	104	81	75	76	89	96	54	49
NA	F1613_RS01960	298	789	561	488	537	738	3358	2789	3074
NA	F1613_RS01950	130	311	183	194	207	312	890	556	929
NA	rrf	82	104	81	75	76	89	96	54	49
NA	rrf	82	104	81	75	76	89	96	54	49
NA	F1613_RS02210	300	766	543	458	541	746	3318	2845	3085
NA	F1613_RS11265	291	748	510	477	464	738	3715	2950	3189
NA	F1613_RS10665	127	258	178	152	199	300	895	593	918
NA	rrf	82	104	81	75	76	89	96	54	49
NA	rrf	82	104	81	75	76	89	96	54	49
NA	F1613_RS11770	280	783	594	456	483	705	3482	2794	3143
NA	F1613_RS01965	113	297	174	154	168	304	900	614	945
NA	F1613_RS01910	8	18	12	2	4	5	8	4	18
NA	F1613_RS01975	0	0	0	1	1	0	10	7	2
NA	F1613_RS01970	4	9	3	3	5	8	18	7	12
NA	F1613_RS01945	11	11	4	5	12	6	36	7	10
NA	F1613_RS01980	15	13	4	108	88	105	119	139	60
NA	F1613_RS01985	31	47	11	215	158	151	195	313	217
NA	F1613_RS01990	16	19	13	11	18	20	13	14	10
NA	F1613_RS01995	83	82	36	147	139	128	119	53	62
NA	F1613_RS02000	30	13	13	44	38	60	142	18	27
NA	F1613_RS02255	902	1138	485	568	735	438	3111	720	823
NA	F1613_RS02900	4	3	2	5	6	2	48	2	2
NA	F1613_RS02905	8	9	4	11	7	13	13	5	6
NA	F1613_RS05550	45	44	32	70	75	70	155	73	33
NA	F1613_RS06480	2	2	2	0	0	1	2	1	0
NA	F1613_RS06485	730	1234	555	581	692	230	969	227	161
NA	F1613_RS07055	7	9	4	7	10	8	8	3	4
NA	F1613_RS10310	2	5	1	1	2	3	25	2	2
NA	F1613_RS10315	47	50	50	20	37	20	89	11	55
NA	F1613_RS10320	33	52	10	8	8	7	56	13	29
NA	F1613_RS10325	237	276	122	36	57	58	228	82	81
NA	F1613_RS10330	31	82	20	12	10	20	69	42	31
NA	F1613_RS10335	157	271	100	52	59	61	586	150	231
NA	F1613_RS10340	132	261	101	61	72	84	371	154	156
NA	F1613_RS10345	282	257	169	125	140	116	227	159	124
NA	F1613_RS10515	60	82	40	143	111	67	526	48	38
NA	F1613_RS10520	19	19	12	13	10	15	63	17	23
NA	F1613_RS10525	38	52	26	34	54	44	453	32	185
NA	F1613_RS10530	61	105	51	44	30	61	232	34	151
NA	F1613_RS10535	44	79	30	11	17	12	36	13	20
NA	F1613_RS10540	130	198	91	47	43	54	68	46	106
NA	F1613_RS10545	109	175	72	100	80	87	149	81	99
NA	F1613_RS10550	171	296	95	65	49	59	200	60	139
NA	F1613_RS10555	158	324	148	108	83	96	551	92	313
NA	F1613_RS10560	111	223	81	42	45	34	197	59	108
NA	F1613_RS10565	338	736	264	588	540	410	1975	562	863
NA	F1613_RS10570	854	1472	775	1327	1279	1014	5907	1498	1829
NA	F1613_RS10575	269	533	204	238	239	191	1545	520	991
NA	F1613_RS10580	205	425	178	169	111	117	564	175	257
NA	F1613_RS10585	117	231	67	48	38	53	241	82	76
NA	F1613_RS10590	107	270	128	99	82	72	266	138	177
NA	F1613_RS10595	92	323	80	224	198	238	407	272	233
NA	F1613_RS10600	18	42	23	43	50	46	84	61	52
NA	F1613_RS10605	15	42	8	29	32	36	86	62	54
NA	F1613_RS10610	213	318	142	300	365	300	356	296	199
NA	F1613_RS10615	64	174	42	149	143	151	400	292	214
NA	F1613_RS10620	30	72	18	48	73	46	208	95	74
NA	F1613_RS10625	88	124	28	142	154	125	319	84	110
NA	F1613_RS10630	94	114	39	153	138	161	268	95	187
NA	F1613_RS10635	34	37	34	76	92	92	460	70	110
NA	F1613_RS10640	2	0	0	0	0	0	0	0	0
NA	F1613_RS10655	30	33	21	32	29	54	225	79	86
NA	F1613_RS10660	3	5	3	5	0	1	10	5	4
NA	F1613_RS11275	41	34	24	11	19	23	194	38	20
NA	F1613_RS11280	71	59	49	15	17	10	195	28	24
NA	F1613_RS11735	8	9	4	53	50	15	56	15	10
NA	F1613_RS11740	6	5	2	5	3	5	13	3	5
NA	F1613_RS11745	28	23	22	20	15	11	38	1	13
NA	F1613_RS11750	3	10	4	1	0	4	13	2	8
NA	F1613_RS11755	1	0	1	0	0	0	2	0	0
NA	F1613_RS11760	2	0	2	1	0	0	2	0	0
