uniprot_quickGO	Description	HS1	HS2	HS3	A21	A22	B51	B52	C11	C12
Q8CQS7	F1613_RS02315	576	491	251	331	288	734	498	543	275
Q8CQT3	F1613_RS02245	2703	6530	3315	4341	5027	3146	16091	4097	4031
Q8CQT5	F1613_RS02225	3209	3278	2931	2747	2662	2646	3814	3584	5530
Q8CQT7	tmk	1585	1223	1215	1488	1415	1437	1284	1236	1655
Q8CQT9	yabA	4033	3509	3511	7140	7497	5677	8505	4434	9375
Q8CQU1	F1613_RS02160	274	445	209	901	831	535	134	569	342
Q8CQU3	metG	25462	27356	29046	56957	63432	47581	37995	35136	52572
Q8CQU5	rsmA	2942	3131	2667	11145	10377	7462	2217	6197	5042
Q8CQU6	ispE	5783	4267	3945	8012	9110	5508	13627	4885	3863
Q8CQU7	F1613_RS02100	16512	17988	18787	20875	15762	31549	22011	39145	60085
Q8CQU8	F1613_RS02095	26566	52003	31013	78547	61306	63876	95077	60186	164430
Q8CQU9	pth	2116	2565	1655	1709	1591	1631	1231	3078	1257
Q8CQV3	tilS	2910	3585	3068	5142	3388	4433	923	3574	2093
Q8CQV4	hpt	2954	4575	3138	5063	3748	4923	958	4792	2423
Q8CQV5	lysS	54312	49693	45545	114356	116231	110610	119542	149656	188519
Q8CQV7	pdxS	736	476	674	1577	1787	1392	2594	1101	1227
Q8CQV8	pdxT	504	361	467	951	1172	914	1494	710	389
Q8CR03	sat	1020	699	731	512	852	1041	1298	697	813
Q8CR04	cysC	758	607	590	451	728	701	1320	535	648
Q8CR12	F1613_RS01425	1023	884	949	1098	1119	1061	1613	887	1067
Q8CR20	panB	5215	5069	6613	3006	3260	3257	2627	3099	3328
Q8CR21	panC	5855	5229	7878	3034	2941	3353	3040	3033	3718
Q8CR38	F1613_RS01160	270	171	138	193	459	176	438	141	156
Q8CR39	F1613_RS01155	13973	7854	5610	35637	59609	18708	59194	16511	11131
Q8CR47	xylB	4118	3247	2844	3075	2727	3987	2587	5781	4814
Q8CR67	galU	9222	9076	7324	30308	24312	21002	28138	15243	28883
Q8CR71	F1613_RS00810	9400	9144	9350	6054	4804	7486	4833	7852	7213
Q8CR79	F1613_RS00695	969	1203	1387	1508	1431	1460	356	1561	544
